dataset,action_id,issue_pair_id,baseline_report_id,ours_report_id,checker_family,checker,kind,lifecycle_applicable,evidence,transition,baseline_locations,ours_locations
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,930c55ea8fb713018479,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|10,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,930c55ea8fb713018479,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|10,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,d4c58e8a4073a1cb364d,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|21,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|23,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,d4c58e8a4073a1cb364d,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|21,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|23,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,d4c58e8a4073a1cb364d,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|21,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|23,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,foundation/graphic/graphic_3d/kits/ets/taihe/src/CameraImpl.cpp:339:73;foundation/graphic/graphic_3d/kits/ets/taihe/src/CameraImpl.cpp:339:9;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:273:16;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:1460:17;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:596:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:606:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:908:20,foundation/graphic/graphic_3d/kits/ets/taihe/src/CameraImpl.cpp:339:73;foundation/graphic/graphic_3d/kits/ets/taihe/src/CameraImpl.cpp:339:9;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:273:16;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:1460:17;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:596:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:606:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:908:20
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ac83bc56e4d2e8924f78,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|18,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ac83bc56e4d2e8924f78,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|18,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ac83bc56e4d2e8924f78,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|18,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,7456079741e98f1a5dc5,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,7456079741e98f1a5dc5,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
