dataset,action_id,issue_pair_id,status,baseline_report_id,ours_report_id,match_cost,baseline_complete,ours_complete,overall_class
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/service/status/v3/csds.upb_minitable.c:952c29b221262aa0dff7,132390f49f07efb75c25,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/service/status/v3/csds.upb_minitable.c:952c29b221262aa0dff7|csds.upb_minitable.c_clangsa_ee99f6ade0ef9c662e41a2560f9fc5d7.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/cookie.upb_minitable.c:a9ac96b4f3d510c141f8,81ad1e4ab6b1f79b8cb1,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/cookie.upb_minitable.c:a9ac96b4f3d510c141f8|cookie.upb_minitable.c_clangsa_c7b31e5cd62b946da3d89afcac8267a4.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/cookie.upb_minitable.c:a9ac96b4f3d510c141f8,7e47b4c9039e1595b7ac,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/cookie.upb_minitable.c:a9ac96b4f3d510c141f8|cookie.upb_minitable.c_clangsa_c7b31e5cd62b946da3d89afcac8267a4.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/path_transformation.upb_minitable.c:2bcf29a0fb009c4d642f,a7ca20ed3785b15e9897,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/path_transformation.upb_minitable.c:2bcf29a0fb009c4d642f|path_transformation.upb_minitable.c_clangsa_91a28dfb19662d2932b0c044fbe45db1.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/path_transformation.upb_minitable.c:2bcf29a0fb009c4d642f,31618b535c5c5b52b162,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/http/v3/path_transformation.upb_minitable.c:2bcf29a0fb009c4d642f|path_transformation.upb_minitable.c_clangsa_91a28dfb19662d2932b0c044fbe45db1.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/filter_state.upb_minitable.c:f8db2e6172b37edb0798,c239203d210330fb26a9,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/filter_state.upb_minitable.c:f8db2e6172b37edb0798|filter_state.upb_minitable.c_clangsa_e1aeffe2579023376812a28561021b66.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/filter_state.upb_minitable.c:f8db2e6172b37edb0798,c58cf7f7a4a44bcf815b,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/filter_state.upb_minitable.c:f8db2e6172b37edb0798|filter_state.upb_minitable.c_clangsa_e1aeffe2579023376812a28561021b66.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/http_inputs.upb_minitable.c:1e206bd263abf6f88f65,ad066de0bca0ec747411,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/http_inputs.upb_minitable.c:1e206bd263abf6f88f65|http_inputs.upb_minitable.c_clangsa_57dd2128f767b8f136705d4dcfc4e31d.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/http_inputs.upb_minitable.c:1e206bd263abf6f88f65,e1a688d6afa7f7c62c9d,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/http_inputs.upb_minitable.c:1e206bd263abf6f88f65|http_inputs.upb_minitable.c_clangsa_57dd2128f767b8f136705d4dcfc4e31d.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/metadata.upb_minitable.c:1fc9738e3b20ae92b3ce,01e342116a9634efcaa9,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/metadata.upb_minitable.c:1fc9738e3b20ae92b3ce|metadata.upb_minitable.c_clangsa_510ff07bb10bf2887190e4f3f296108a.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/metadata.upb_minitable.c:1fc9738e3b20ae92b3ce,46b0a8e518841131d036,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/metadata.upb_minitable.c:1fc9738e3b20ae92b3ce|metadata.upb_minitable.c_clangsa_510ff07bb10bf2887190e4f3f296108a.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/node.upb_minitable.c:355b8176892ae3764352,f4ee84f38e2e80840659,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/node.upb_minitable.c:355b8176892ae3764352|node.upb_minitable.c_clangsa_8dca7f44c6276b7d66006976dd2d44f9.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/node.upb_minitable.c:355b8176892ae3764352,eee97a77aff992f09efc,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/node.upb_minitable.c:355b8176892ae3764352|node.upb_minitable.c_clangsa_8dca7f44c6276b7d66006976dd2d44f9.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/number.upb_minitable.c:436e12742d5be5961731,65a54e97e9a62103ed12,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/number.upb_minitable.c:436e12742d5be5961731|number.upb_minitable.c_clangsa_ce5a57a5d4684c70afd7f19869abb844.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/number.upb_minitable.c:436e12742d5be5961731,df87f8a853fb1c954aa3,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/number.upb_minitable.c:436e12742d5be5961731|number.upb_minitable.c_clangsa_ce5a57a5d4684c70afd7f19869abb844.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/path.upb_minitable.c:ba3b47dec84d4233dccd,b9cd647f99c94c35a1b5,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/path.upb_minitable.c:ba3b47dec84d4233dccd|path.upb_minitable.c_clangsa_a947a35da5d0e43b5da257e1597be65d.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/path.upb_minitable.c:ba3b47dec84d4233dccd,0f180991805a34561eed,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/path.upb_minitable.c:ba3b47dec84d4233dccd|path.upb_minitable.c_clangsa_a947a35da5d0e43b5da257e1597be65d.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/regex.upb_minitable.c:58abbadf8b9b28f7110c,2c83e56b5f21d2445237,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/regex.upb_minitable.c:58abbadf8b9b28f7110c|regex.upb_minitable.c_clangsa_9a95389e8de0611aea99962bcada0959.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/regex.upb_minitable.c:58abbadf8b9b28f7110c,db006a0f48b538dfc470,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/regex.upb_minitable.c:58abbadf8b9b28f7110c|regex.upb_minitable.c_clangsa_9a95389e8de0611aea99962bcada0959.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/status_code_input.upb_minitable.c:21be15b089b54ed2d2b3,899a3cf501cb62bc3bae,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/status_code_input.upb_minitable.c:21be15b089b54ed2d2b3|status_code_input.upb_minitable.c_clangsa_7b21da30561f7d22e53755b4d9f6ea43.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/status_code_input.upb_minitable.c:21be15b089b54ed2d2b3,be57627e4e560cc13b81,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/status_code_input.upb_minitable.c:21be15b089b54ed2d2b3|status_code_input.upb_minitable.c_clangsa_7b21da30561f7d22e53755b4d9f6ea43.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/string.upb_minitable.c:18b412789f8134cc7327,8ad50231f4b0dfdabf0e,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/string.upb_minitable.c:18b412789f8134cc7327|string.upb_minitable.c_clangsa_50ead24cd6c29b5484a8e28126b90287.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/string.upb_minitable.c:18b412789f8134cc7327,00c481b860c9cc4a79c9,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/string.upb_minitable.c:18b412789f8134cc7327|string.upb_minitable.c_clangsa_50ead24cd6c29b5484a8e28126b90287.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/struct.upb_minitable.c:c0c53a4e9f6b8ca8f600,94568845c4e6945c01a0,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/struct.upb_minitable.c:c0c53a4e9f6b8ca8f600|struct.upb_minitable.c_clangsa_42c786e831f88430e77fbcfff1e4574d.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/struct.upb_minitable.c:c0c53a4e9f6b8ca8f600,57a075195bc6b25c60a5,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/struct.upb_minitable.c:c0c53a4e9f6b8ca8f600|struct.upb_minitable.c_clangsa_42c786e831f88430e77fbcfff1e4574d.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/value.upb_minitable.c:b9ada6c58ed326cff246,8e5153a1b95330ad03c5,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/value.upb_minitable.c:b9ada6c58ed326cff246|value.upb_minitable.c_clangsa_8fe7ecdd1c213e574459acbde6e26a12.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/value.upb_minitable.c:b9ada6c58ed326cff246,59da45e1d96506ceb95e,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/matcher/v3/value.upb_minitable.c:b9ada6c58ed326cff246|value.upb_minitable.c_clangsa_8fe7ecdd1c213e574459acbde6e26a12.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/metadata/v3/metadata.upb_minitable.c:52b5b05c2d479973993a,d41b8ff9f773751b39b7,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/metadata/v3/metadata.upb_minitable.c:52b5b05c2d479973993a|metadata.upb_minitable.c_clangsa_fc8a8e0133fbbe7ada3cbb5d605d418f.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/metadata/v3/metadata.upb_minitable.c:52b5b05c2d479973993a,5e9db68d96c9b9135578,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/metadata/v3/metadata.upb_minitable.c:52b5b05c2d479973993a|metadata.upb_minitable.c_clangsa_fc8a8e0133fbbe7ada3cbb5d605d418f.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/tracing/v3/custom_tag.upb_minitable.c:c13a9f9a06c154a33af8,546e871dedf556ba0df7,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/tracing/v3/custom_tag.upb_minitable.c:c13a9f9a06c154a33af8|custom_tag.upb_minitable.c_clangsa_ea124e2f70a0e7af33676ff1cd0b3ffb.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/tracing/v3/custom_tag.upb_minitable.c:c13a9f9a06c154a33af8,44d9461df20f3f8b3b55,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/tracing/v3/custom_tag.upb_minitable.c:c13a9f9a06c154a33af8|custom_tag.upb_minitable.c_clangsa_ea124e2f70a0e7af33676ff1cd0b3ffb.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/hash_policy.upb_minitable.c:d174b0211a3c1b0c5631,4b4e9a6204a4b9ab24bd,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/hash_policy.upb_minitable.c:d174b0211a3c1b0c5631|hash_policy.upb_minitable.c_clangsa_be8591c885dd0ba2d7eabed6f60d8d0c.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/hash_policy.upb_minitable.c:d174b0211a3c1b0c5631,ac50e2a1a13a3a1e4bdf,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/hash_policy.upb_minitable.c:d174b0211a3c1b0c5631|hash_policy.upb_minitable.c_clangsa_be8591c885dd0ba2d7eabed6f60d8d0c.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http.upb_minitable.c:26aa42447544f9094e80,a521fc1639c8e0ee22c4,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http.upb_minitable.c:26aa42447544f9094e80|http.upb_minitable.c_clangsa_92aef6da4917a6442693af869312792a.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http.upb_minitable.c:26aa42447544f9094e80,b9e8f7da85f9f056b62c,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http.upb_minitable.c:26aa42447544f9094e80|http.upb_minitable.c_clangsa_92aef6da4917a6442693af869312792a.plist|0,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http_status.upb_minitable.c:a543dfecbbbd2879bffb,a9b611e91d53ec1037d4,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http_status.upb_minitable.c:a543dfecbbbd2879bffb|http_status.upb_minitable.c_clangsa_c756c46d7215f146cfe36cab5db26b8f.plist|1,,,,
Android,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http_status.upb_minitable.c:a543dfecbbbd2879bffb,55e9124dc4dc80c205cb,ours_only,,android:external/grpc-grpc/src/core/ext/upb-gen/envoy/type/v3/http_status.upb_minitable.c:a543dfecbbbd2879bffb|http_status.upb_minitable.c_clangsa_c756c46d7215f146cfe36cab5db26b8f.plist|0,,,,
