dataset,action_id,source_path,status,reason,action_count,baseline_plist_count,ours_plist_count,baseline_configs,ours_configs
OpenHarmony,oh:ImageImpl.cpp_clangsa_63063a2385e3f1d757221512c2aebcd0.plist,ImageImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ImageJS.cpp_clangsa_4882e4a39dd68541070b6fd1145f6108.plist,ImageJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:JsObjectCache.cpp_clangsa_4497a2a5ccf2f24cd100cff5a3680ba8.plist,JsObjectCache.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:LightETS.cpp_clangsa_74d5c05bf201deeefcc55cb9071c84b5.plist,LightETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:LightImpl.cpp_clangsa_03cd1be200bd3e6a84ec3abc4ed1c3fd.plist,LightImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:LightJS.cpp_clangsa_216925e0afd096763bb7cde39076f4ef.plist,LightJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialETS.cpp_clangsa_26597e0efb0c127fc14d8310dca24490.plist,MaterialETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialImpl.cpp_clangsa_e00a2ea80e7496d148f6b0f43992ca9e.plist,MaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialJS.cpp_clangsa_6fdc6f7c0120a894796c1f6f4accd043.plist,MaterialJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialPropertyETS.cpp_clangsa_aac05a801de02af2a62bd3650ab8d81f.plist,MaterialPropertyETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialPropertyImpl.cpp_clangsa_b90f529f5a9102fef62f99d2bd4744a0.plist,MaterialPropertyImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MaterialPropertyJS.cpp_clangsa_15b01b32c224090e2b0395bc040d07cf.plist,MaterialPropertyJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshETS.cpp_clangsa_159de42bd5f65c2acf9457ac3a6dc2cf.plist,MeshETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshImpl.cpp_clangsa_96839c5d245a0384773e214a90f8dedc.plist,MeshImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshJS.cpp_clangsa_cbd6e750c2cba40daf0ebce3ed500406.plist,MeshJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshResourceETS.cpp_clangsa_2ba092f5dbee151371f96380dbb06146.plist,MeshResourceETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshResourceImpl.cpp_clangsa_27d253a819455a465699c37764f0b967.plist,MeshResourceImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MeshResourceJS.cpp_clangsa_198c0ac967d2728311a7e23650b7f225.plist,MeshResourceJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MetallicRoughnessMaterialImpl.cpp_clangsa_156ab1f14f671535d095deff2d2c024a.plist,MetallicRoughnessMaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MorpherETS.cpp_clangsa_d2abffe78643ebb91ea676998db88073.plist,MorpherETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MorpherImpl.cpp_clangsa_43c557c3de75c946b7d81b361cbd36f5.plist,MorpherImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:MorpherJS.cpp_clangsa_b4f2a69e2c27029a2021704a6a8d591f.plist,MorpherJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:NodeETS.cpp_clangsa_505fc152c806f308553c6e0cd22ac11d.plist,NodeETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:NodeImpl.cpp_clangsa_6803acc584c2b6a71b55579d59c521f8.plist,NodeImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:NodeImpl.cpp_clangsa_7e78aae13460ce80ef2a24dc28694263.plist,NodeImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:NodeJS.cpp_clangsa_4315c3bc88ac6d876c9cce72bea08eab.plist,NodeJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ObjectProxy.cpp_clangsa_0ea39d073c12d5a05983587b9b409f1f.plist,ObjectProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:OcclusionMaterialImpl.cpp_clangsa_4f0dae7799c617fe282edbe7ffab6a10.plist,OcclusionMaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:OcclusionMaterialJS.cpp_clangsa_1f26544e78cc3e0aa7accd0d500adaab.plist,OcclusionMaterialJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:OpListHandle.cpp_clangsa_a852412c326445cd1bb929d9ea9ce9bf.plist,OpListHandle.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PBRMaterialImpl.cpp_clangsa_4867d9a14e0aabdc656ca30b1e09eecb.plist,PBRMaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ParamParsing.cpp_clangsa_854e99fcb3e71036d0b9c90d2225bb2e.plist,ParamParsing.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PlaneETS.cpp_clangsa_4f6e86a6b5222dd57c6e5f67afb053b6.plist,PlaneETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PlaneJS.cpp_clangsa_aa27a0cd3c03ac4cd4bd377f91799fa9.plist,PlaneJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PostProcJS.cpp_clangsa_807e99ed1b185fb5ad48587a95246626.plist,PostProcJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PostProcessETS.cpp_clangsa_35f8813c4cba0c0d320c8ffc91394c31.plist,PostProcessETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PostProcessSettingsImpl.cpp_clangsa_d587775b0fed7ab1ef82f1e8fc786743.plist,PostProcessSettingsImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Promise.cpp_clangsa_2b3a149c9f45c9635796c63a7c39f816.plist,Promise.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PropertyProxy.cpp_clangsa_28588ecf0f732265e55e89948511d87d.plist,PropertyProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:PropertyProxy.cpp_clangsa_388886cba6fa6f700afd2440346590d1.plist,PropertyProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:QuatProxy.cpp_clangsa_726e666210e510ff447abcd258fdd50c.plist,QuatProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:QuatProxy.cpp_clangsa_9c75d09f7331c0fe6931738a7a2765ad.plist,QuatProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Raycast.cpp_clangsa_17ae8482dd815bd776eb76cb2d2389f2.plist,Raycast.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderConfigurationETS.cpp_clangsa_2a0febefc06467f231d3fc25699306e1.plist,RenderConfigurationETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderConfigurationImpl.cpp_clangsa_849404030bd19f39d060e09d21a3d0ba.plist,RenderConfigurationImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderConfigurationJS.cpp_clangsa_e1ed577b7b19c123547b2242e67aeaa8.plist,RenderConfigurationJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderContextETS.cpp_clangsa_2c1a358123b21301a7f25dd553d2908e.plist,RenderContextETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderContextImpl.cpp_clangsa_c1582650ece6341330ae6cc6cf54b785.plist,RenderContextImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderContextJS.cpp_clangsa_4de551bd896f08aaf658772a40e6ee87.plist,RenderContextJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderResourceFactoryImpl.cpp_clangsa_21795e7ea07e07ed66939e87df9dac54.plist,RenderResourceFactoryImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:RenderResourcesETS.cpp_clangsa_d84341bca92a94a8fcd7f67be1f11eba.plist,RenderResourcesETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SamplerETS.cpp_clangsa_31273ed38bf5bedc74f2cf0e58457abd.plist,SamplerETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SamplerImpl.cpp_clangsa_8629a5f8cf3229c9a63409310ea00c76.plist,SamplerImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SamplerJS.cpp_clangsa_cf1eb407c7d3e7bfa88ec3f943a8083a.plist,SamplerJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneComponentETS.cpp_clangsa_c8059960c38d668cd0ac0307dd61eab8.plist,SceneComponentETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneComponentImpl.cpp_clangsa_1e9a5935a93eca3860cf7cfc6d1c6ea7.plist,SceneComponentImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneComponentJS.cpp_clangsa_cdf9fb699292f398d635371d59173154.plist,SceneComponentJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneETS.cpp_clangsa_8c12bd7e3b5116bc4612b8e83b0fbcc6.plist,SceneETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneImpl.cpp_clangsa_0ff9baea04c31037fd56edcf26d20a56.plist,SceneImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneJS.cpp_clangsa_10ddfcb0d6b49a1b60c3fc9e75b5e8e1.plist,SceneJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneNodes.Transfer.ani.cpp_clangsa_34572be628bd4e6ccf651d72636fcbc4.plist,SceneNodes.Transfer.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneNodes.ani.cpp_clangsa_d6308d360e6580e1a1d2a15d5b0d1cd1.plist,SceneNodes.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ScenePostProcessSettings.ani.cpp_clangsa_5d28819a59844ca9bea59a99a529917b.plist,ScenePostProcessSettings.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResourceETS.cpp_clangsa_741a48a6027c1f911e725e8ca1de3811.plist,SceneResourceETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResourceFactoryImpl.cpp_clangsa_ee74b4f3b4db3b066c6ec8663ef7167d.plist,SceneResourceFactoryImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResourceImpl.cpp_clangsa_8351c8824f4252447fb3d26a384c15cf.plist,SceneResourceImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResourceImpl.cpp_clangsa_9d90120aa71a995365d3032b61e66b5f.plist,SceneResourceImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResources.Transfer.ani.cpp_clangsa_b0cf0381812e77538f17873032e6ff87.plist,SceneResources.Transfer.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneResources.ani.cpp_clangsa_d750d68245a6b4695de7c03905200589.plist,SceneResources.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneTH.Transfer.ani.cpp_clangsa_f262d18ee2df6c5de7356b7dfb6c2d10.plist,SceneTH.Transfer.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneTH.ani.cpp_clangsa_94b3184a8aebd5487a65d99c7435fd21.plist,SceneTH.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneTypes.ani.cpp_clangsa_4d7edcd814f9c6e36ed1678b98173377.plist,SceneTypes.ani.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SceneTypesImpl.cpp_clangsa_fe1552f24ccc8b290ee7654fe79c1a32.plist,SceneTypesImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ShaderETS.cpp_clangsa_baf6c00f04b5519edbdc4aebba5eb62d.plist,ShaderETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ShaderImpl.cpp_clangsa_57d62e38af6a6fc8fae134765265f990.plist,ShaderImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ShaderJS.cpp_clangsa_09745f364c8f012c4883d76cbd7ab7f7.plist,ShaderJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ShaderMaterialImpl.cpp_clangsa_919a2f6c9fd5a108d4ea0ebe0e98e5dc.plist,ShaderMaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SphereETS.cpp_clangsa_3aae3d7d52b5b1f41b87025f9c51aaae.plist,SphereETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SphereJS.cpp_clangsa_dd5bae634b950b625d4a6840a0bd210f.plist,SphereJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SubMeshETS.cpp_clangsa_72ef48ad2db57dc6d40d494ba749bc7b.plist,SubMeshETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SubMeshImpl.cpp_clangsa_e6cbf19a1fa3052283c9c84d0514dd03.plist,SubMeshImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:SubMeshJS.cpp_clangsa_4a40c0ea557694a4cc924bc786e6434e.plist,SubMeshJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ToneMapJS.cpp_clangsa_b0900e39bc8c946a67876f3f5f203489.plist,ToneMapJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ToneMappingSettingsImpl.cpp_clangsa_ec0519230f8b28a849f2f1db078cdb0b.plist,ToneMappingSettingsImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:TonemapETS.cpp_clangsa_5d495972a039d5daa504a81e66f0e8e0.plist,TonemapETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:TrueRootObject.cpp_clangsa_36467192a1d47ee6be259be443bef560.plist,TrueRootObject.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:UnlitMaterialImpl.cpp_clangsa_3726838465360a7bb601c6709ad8c91e.plist,UnlitMaterialImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:UnlitShadowAlphaImpl.cpp_clangsa_7cb97e5b5daeb1997d08bac77864ab94.plist,UnlitShadowAlphaImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec2Proxy.cpp_clangsa_be9275cad995d9a8d7d648b428d4d3d6.plist,Vec2Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec2Proxy.cpp_clangsa_fa85e57dc185c17df98e5d7f97309540.plist,Vec2Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec3Proxy.cpp_clangsa_9c91f11d79715eb6b3355bec79dda226.plist,Vec3Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec3Proxy.cpp_clangsa_bb6bf1d5c9501757eb0ddb056bf29f28.plist,Vec3Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec4Proxy.cpp_clangsa_4d276b3e7e7e25ef62772b8880ffe4ab.plist,Vec4Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:Vec4Proxy.cpp_clangsa_807b9796adb7c81ce084bc0f9400114e.plist,Vec4Proxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:VignetteETS.cpp_clangsa_9353a1b4f7acf5676fd7b897871b6166.plist,VignetteETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:VignetteSettingsImpl.cpp_clangsa_bfb56504d7f81e7073d2a1647b5b7abd.plist,VignetteSettingsImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:aafwk_app_mgr_client_adapter_impl.cpp_clangsa_42e403a60cb9cb94b3a0469a6ca6ec52.plist,aafwk_app_mgr_client_adapter_impl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:aafwk_browser_client_adapter_impl.cpp_clangsa_33aae4d0acdf143e1fb1ec5244fa652f.plist,aafwk_browser_client_adapter_impl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:aafwk_browser_host_impl.cpp_clangsa_6cda939e5832bf47564358826e3d4760.plist,aafwk_browser_host_impl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:aafwk_render_scheduler_impl.cpp_clangsa_e849154da49b0a4c4bb210e0db3a271a.plist,aafwk_render_scheduler_impl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:access_token_adapter_impl.cpp_clangsa_8eb531f29d965d5b67ef3199a411e9d0.plist,access_token_adapter_impl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:accessibility_param.cpp_clangsa_1733d60f6c37f696bd640f9b33b01e40.plist,accessibility_param.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:accessibility_param_parse.cpp_clangsa_6a066fd77ca9ed7dac6f5c6b9639ff4a.plist,accessibility_param_parse.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:addnetworkroute_context.cpp_clangsa_06be0b62fee7812f90cb6199f7ca7df6.plist,addnetworkroute_context.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:addvlanip_context.cpp_clangsa_093ad6b3a59d6b8e65253ea0b8ba4b48.plist,addvlanip_context.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_brush.cpp_clangsa_c23b85970f4111d0bb83cc4a67aacec0.plist,ani_brush.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_business_error.cpp_clangsa_de01ff06febef3ed030d339e54bc260b.plist,ani_business_error.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_cache_manager.cpp_clangsa_3ca59f692f86423bc083fbff7d9e88f9.plist,ani_cache_manager.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_canvas.cpp_clangsa_df0d55a466e3b8110499c6634225a5ba.plist,ani_canvas.cpp,ours_only_input,released_ours_result,1,0,1,,
